Collaboration_Performance.Parameters,Collaboration_Design.Reasoning,Collaboration_Client.and.Consultant.Requests,Collaboration_Technical.Constraints,Collaboration_Data,Performance.Parameters_Design.Reasoning,Performance.Parameters_Client.and.Consultant.Requests,Performance.Parameters_Technical.Constraints,Performance.Parameters_Data,Design.Reasoning_Client.and.Consultant.Requests,Design.Reasoning_Technical.Constraints,Design.Reasoning_Data,Client.and.Consultant.Requests_Technical.Constraints,Client.and.Consultant.Requests_Data,Technical.Constraints_Data
,,,,,"['Does anyone have a prototype that was close, but maybe two attributes were off that can be adjusted by changing one component? | Does anyone have a prototype that was close, but maybe two attributes were off that can be adjusted by changing one component?']",,"[""The Pneumatic Actuator Muscle was very lightweight but did not have an adequate recharge interval nor was the agility very high | the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized""]",['The recharge interval can be increased by lowering the ROM number. | And by using light materials.'],,['Yes the strain-gauge did preform well but the piezoelectric sensor had a better recharge interval and safety ranking'],['The Pneumatic Actuator prototypes averaged around 7 hours | For series elastic the average recharge interval was around 5.9 hours'],,,"['I dont think we can use the PAM because I dont see it getting a high enough payload, | I figured, considering hydraulics main purpose is to lift and support things']"
,,,,,"['Does anyone have a prototype that was close, but maybe two attributes were off that can be adjusted by changing one component? | All of my prototypes basically just need to get a higher ROM and material change...']",,"[""@Tiffany: What does being lightweight do to the technical specifications?  Is that good for payload? | the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized""]","['Very true. and even with a lower ROM number, electric actuators keep a good payload and agility | And by using light materials.']",,['Yea I agree with the strain gauge | Yes the strain-gauge did preform well but the piezoelectric sensor had a better recharge interval and safety ranking'],['The Pneumatic Actuator prototypes averaged around 7 hours | Hydraulic also has the highest cost and the second lowest recharge interval.'],,,"[""Pam doesn't have a high enough payload @steven""]"
,,,,,"['Does anyone have a prototype that was close, but maybe two attributes were off that can be adjusted by changing one component? | All of my prototypes basically just need to get a higher ROM and material change...']",,"[""@Jordan: Yes, the payload was reasonably high | the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized""]","['15,020 $$ or less, 200 degrees per second (minimum of 122), at least 528N payload (ideally 880), at least 5.9 hour recharge ideally 7 or more, highest risk at 225']",,['The piezoelectric sensor was an all around good choice from my data | Yes the strain-gauge did preform well but the piezoelectric sensor had a better recharge interval and safety ranking'],['Also for series elastic our designs showed optimal results in safety ratings for the most part'],,,"['okay good job, now we all have to sum up our points in our notebooks on each actuator correct? | Hi, sorry, I was reading something incorrectly and made the wrong prototype.']"
,,,,,"['Does anyone have a prototype that was close, but maybe two attributes were off that can be adjusted by changing one component? | Aluminum material, LiPo, ROM4*, Piezoelectric. I tried ROM3 but the agility was a little low']",,"[""the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized""]","['Very true. and even with a lower ROM number, electric actuators keep a good payload and agility | 15,020 $$ or less, 200 degrees per second (minimum of 122), at least 528N payload (ideally 880), at least 5.9 hour recharge ideally 7 or more, highest risk at 225']",,['If we choose the NiCd with the strain gauge look at the overall recharge interval | Yes the strain-gauge did preform well but the piezoelectric sensor had a better recharge interval and safety ranking'],['Also for series elastic our designs showed optimal results in safety ratings for the most part | Around 6 hours.'],,,['I thought the hydraulic was the best | So how did everyone feel about the results?']
,,,,,"['All of my prototypes basically just need to get a higher ROM and material change... | Aluminum material, LiPo, ROM4*, Piezoelectric. I tried ROM3 but the agility was a little low']",,"[""@Tiffany: What does being lightweight do to the technical specifications?  Is that good for payload? | the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized""]","['And by using light materials. | 15,020 $$ or less, 200 degrees per second (minimum of 122), at least 528N payload (ideally 880), at least 5.9 hour recharge ideally 7 or more, highest risk at 225']",,['If we choose the NiCd with the strain gauge look at the overall recharge interval | To get the best overall product we would need to choose a combination of the two that results in the best'],"['Also for series elastic our designs showed optimal results in safety ratings for the most part | Pneumatic or PAM might be good then, so that we can use other power-draining options that help the other attributes.']",,,['The series elastic was probably the worst | So how did everyone feel about the results?']
,,,,,"[""Aluminum material, LiPo, ROM4*, Piezoelectric. I tried ROM3 but the agility was a little low | Ok so we could throw in some more of Amelia's prototypes""]",,"[""@Jordan: Yes, the payload was reasonably high | the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized""]","['Very true. and even with a lower ROM number, electric actuators keep a good payload and agility | those are the standards requested, can the electric actuator get to around 6 hour recharge levels?']",,['Yes the strain-gauge did preform well but the piezoelectric sensor had a better recharge interval and safety ranking | To get the best overall product we would need to choose a combination of the two that results in the best'],"['Around 6 hours. | Pneumatic or PAM might be good then, so that we can use other power-draining options that help the other attributes.']",,,"['I think it is too bad that the Series Elastic actuator is as expensive as it is, and has as low of a recharge interval as it does. It seems to shine in the other categories.']"
,,,,,"[""All of my prototypes basically just need to get a higher ROM and material change... | There's one with a payload of 492N, 278 agility, 6.53 recharge, $14390 (due to control type) and safety of 175""]",,"[""the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized | the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized""]","['15,020 $$ or less, 200 degrees per second (minimum of 122), at least 528N payload (ideally 880), at least 5.9 hour recharge ideally 7 or more, highest risk at 225 | those are the standards requested, can the electric actuator get to around 6 hour recharge levels?']",,['Yes the strain-gauge did preform well but the piezoelectric sensor had a better recharge interval and safety ranking | NiCd only real weakness is recharge interval so I think that piezoelectric is the way to go'],"['Also for series elastic our designs showed optimal results in safety ratings for the most part | Pneumatic or PAM might be good then, so that we can use other power-draining options that help the other attributes.']",,,"['I thought the hydraulic was the best | I think it is too bad that the Series Elastic actuator is as expensive as it is, and has as low of a recharge interval as it does. It seems to shine in the other categories.']"
,,,,,"[""Ok so we could throw in some more of Amelia's prototypes | There's one with a payload of 492N, 278 agility, 6.53 recharge, $14390 (due to control type) and safety of 175""]",,"[""the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized | Safety.  Okay.""]","['@Nassim Tehrani: Hello, my team worked on the Pneumatic Artificial Muscle actuator. It provided a good recharge interval but had a low payload capacity']",,['To get the best overall product we would need to choose a combination of the two that results in the best | NiCd only real weakness is recharge interval so I think that piezoelectric is the way to go'],"['Around 6 hours. | Pneumatic or PAM might be good then, so that we can use other power-draining options that help the other attributes.']",,,"['The series elastic was probably the worst | I think it is too bad that the Series Elastic actuator is as expensive as it is, and has as low of a recharge interval as it does. It seems to shine in the other categories.']"
,,,,,"[""There's one with a payload of 492N, 278 agility, 6.53 recharge, $14390 (due to control type) and safety of 175 | Brandon, give Amelia the components for your suggested prototype, then we'll throw in the one I mentioned and she'll make a batch""]",,"[""the elastic actuator's payload was dependent on other factors like material/powersource/control sensor. When working with a steel frame, a NiCd battery, and a strain gauge control sensor, the payload was maximized | Safety.  Okay.""]","['And by using light materials. | @Nassim Tehrani: Hello, my team worked on the Pneumatic Artificial Muscle actuator. It provided a good recharge interval but had a low payload capacity']",,['According to the design gantt chart we are going to be deciding which material to use next'],['Around 6 hours. | We are trying to choose an actuator that will help up get within the consultants specifications'],,,"['So how did everyone feel about the results? | I think it is too bad that the Series Elastic actuator is as expensive as it is, and has as low of a recharge interval as it does. It seems to shine in the other categories.']"
,,,,,"[""Brandon, give Amelia the components for your suggested prototype, then we'll throw in the one I mentioned and she'll make a batch | Payload and safety needs to go up, otherwise it's not bad""]",,"[""@Cameron: With the payload maximized, what did the series elastic actuator prototype's agility, cost, recharge interval, and RPN look like?""]","['15,020 $$ or less, 200 degrees per second (minimum of 122), at least 528N payload (ideally 880), at least 5.9 hour recharge ideally 7 or more, highest risk at 225 | @Nassim Tehrani: Hello, my team worked on the Pneumatic Artificial Muscle actuator. It provided a good recharge interval but had a low payload capacity']",,['To get the best overall product we would need to choose a combination of the two that results in the best | According to the design gantt chart we are going to be deciding which material to use next'],['There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible.'],,,"['So how did everyone feel about the results? | Yes, I thought the Hydraulic was a great actuator. I think that if we paired it with a PFC battery we could also increase the recharge interval.']"
,,,,,"[""Payload and safety needs to go up, otherwise it's not bad | Okay, just leave me the messge, I have to get to class. But I'll make a batch today.""]",,"[""@Cameron: With the payload maximized, what did the series elastic actuator prototype's agility, cost, recharge interval, and RPN look like? | What Material did everyone use?""]","['those are the standards requested, can the electric actuator get to around 6 hour recharge levels? | @Nassim Tehrani: Hello, my team worked on the Pneumatic Artificial Muscle actuator. It provided a good recharge interval but had a low payload capacity']",,['NiCd only real weakness is recharge interval so I think that piezoelectric is the way to go | According to the design gantt chart we are going to be deciding which material to use next'],"['Pneumatic or PAM might be good then, so that we can use other power-draining options that help the other attributes. | There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible.']",,,"['I think it is too bad that the Series Elastic actuator is as expensive as it is, and has as low of a recharge interval as it does. It seems to shine in the other categories. | Yes, I thought the Hydraulic was a great actuator. I think that if we paired it with a PFC battery we could also increase the recharge interval.']"
,,,,,"[""@Amalia: The power source on that one could be changed to NiCd or LiPo possibly? That's the most direct payload up, safety down (RPN up) change I can think of. | Did we submit our final batch for testing yet?""]",,"[""@Cameron: With the payload maximized, what did the series elastic actuator prototype's agility, cost, recharge interval, and RPN look like? | Its agility did fairly well, its cost suffered a bit as it was fairly expensive, and its recharge interval also was not the greatest. There obviously are some drawbacks to maximizing payload""]","['I think recharge interval is an important attribute, as it allows more time in the field for rescue workers, lets focus on keeping that around 6.5 hours']",,"['Sorry team. Again I was experiencing many technical difficulties this class period. However, I found that the NiCd battery was the best overall, and the strain-gauge is the best control sensor']","['Pneumatic or PAM might be good then, so that we can use other power-draining options that help the other attributes. | There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible.']",,,"['I think it is too bad that the Series Elastic actuator is as expensive as it is, and has as low of a recharge interval as it does. It seems to shine in the other categories. | We cant really change any of the design I think.  Then the results would get all messed up']"
,,,,,"[""None of the new prototypes had more than two attributes better than Maggie's previous one. Hers still seems superior.""]",,"['What Material did everyone use? | Its agility did fairly well, its cost suffered a bit as it was fairly expensive, and its recharge interval also was not the greatest. There obviously are some drawbacks to maximizing payload']","['those are the standards requested, can the electric actuator get to around 6 hour recharge levels? | I think recharge interval is an important attribute, as it allows more time in the field for rescue workers, lets focus on keeping that around 6.5 hours']",,"['Also ""The Effect of Exoskeleton Range of Motion on Series Elastic Actuated System Level Performance Metrics""']",['We are trying to choose an actuator that will help up get within the consultants specifications | There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible.'],,,"['Yes, I thought the Hydraulic was a great actuator. I think that if we paired it with a PFC battery we could also increase the recharge interval. | We cant really change any of the design I think.  Then the results would get all messed up']"
,,,,,"[""None of the new prototypes had more than two attributes better than Maggie's previous one. Hers still seems superior.""]",,"[""@Cameron: With the payload maximized, what did the series elastic actuator prototype's agility, cost, recharge interval, and RPN look like? | my group tested prototypes of all 3 materials""]","['@Nassim Tehrani: Hello, my team worked on the Pneumatic Artificial Muscle actuator. It provided a good recharge interval but had a low payload capacity | I think recharge interval is an important attribute, as it allows more time in the field for rescue workers, lets focus on keeping that around 6.5 hours']",,"['Im reading ""Actuator Descriptions and Technical Specifications"" | Also ""The Effect of Exoskeleton Range of Motion on Series Elastic Actuated System Level Performance Metrics""']",['There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible.'],,,['No matter what you do with the series elastic the recharge is awful.  the cost is always high too']
,,,,,"[""None of the new prototypes had more than two attributes better than Maggie's previous one. Hers still seems superior. | None of the new prototypes had more than two attributes better than Maggie's previous one. Hers still seems superior.""]",,"['Its agility did fairly well, its cost suffered a bit as it was fairly expensive, and its recharge interval also was not the greatest. There obviously are some drawbacks to maximizing payload | my group tested prototypes of all 3 materials']",['@Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval'],,"['Im reading ""Actuator Descriptions and Technical Specifications"" | Also ""The Effect of Exoskeleton Range of Motion on Series Elastic Actuated System Level Performance Metrics""']","['Pneumatic or PAM might be good then, so that we can use other power-draining options that help the other attributes. | There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible.']",,,"['Yes, I thought the Hydraulic was a great actuator. I think that if we paired it with a PFC battery we could also increase the recharge interval. | No matter what you do with the series elastic the recharge is awful.  the cost is always high too']"
,,,,,"[""None of the new prototypes had more than two attributes better than Maggie's previous one. Hers still seems superior. | As a refresher, what were the exact specifications for Maggie's prototype?""]",,"['What Material did everyone use? | Its agility did fairly well, its cost suffered a bit as it was fairly expensive, and its recharge interval also was not the greatest. There obviously are some drawbacks to maximizing payload']","['@Nassim Tehrani: Hello, my team worked on the Pneumatic Artificial Muscle actuator. It provided a good recharge interval but had a low payload capacity | @Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval']",,"['Are you reading any of the pneumatic or electric level performance metrics? | Also ""The Effect of Exoskeleton Range of Motion on Series Elastic Actuated System Level Performance Metrics""']",['We are trying to choose an actuator that will help up get within the consultants specifications | There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible.'],,,['We cant really change any of the design I think.  Then the results would get all messed up | No matter what you do with the series elastic the recharge is awful.  the cost is always high too']
,,,,,"[""None of the new prototypes had more than two attributes better than Maggie's previous one. Hers still seems superior. | As a refresher, what were the exact specifications for Maggie's prototype?""]",,"['my group tested prototypes of all 3 materials | Its agility did fairly well, its cost suffered a bit as it was fairly expensive, and its recharge interval also was not the greatest. There obviously are some drawbacks to maximizing payload']","['I think recharge interval is an important attribute, as it allows more time in the field for rescue workers, lets focus on keeping that around 6.5 hours | @Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval']",,"['Also ""The Effect of Exoskeleton Range of Motion on Series Elastic Actuated System Level Performance Metrics"" | I think we only have to evaluate the series elastic and then compare different combinations of other parts and materials with it']",['There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible. | There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible.'],,,['We cant really change any of the design I think.  Then the results would get all messed up | So is the hydraulic the one we will go with?']
,,,,,"[""None of the new prototypes had more than two attributes better than Maggie's previous one. Hers still seems superior. | Yeah and it seemed like the recharge intervals for Amalia's toke a large decrease then we predicted""]",,"['Its agility did fairly well, its cost suffered a bit as it was fairly expensive, and its recharge interval also was not the greatest. There obviously are some drawbacks to maximizing payload | my group tested prototypes of all 3 materials']","['I think recharge interval is an important attribute, as it allows more time in the field for rescue workers, lets focus on keeping that around 6.5 hours | My team found that the Pneumatic actuator works very well meeting the standards in multiple prototype designs and I think it will be better than the artificial muscle which is essentially a weaker Pneumatic design']",,['I am looking at the balanced design we each made and it looks as though the general consensus is ROM 4 and Piezoelectric'],['There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible. | Do the new prototypes all have to use the same actuators?'],,,['No matter what you do with the series elastic the recharge is awful.  the cost is always high too | So is the hydraulic the one we will go with?']
,,,,,"[""As a refresher, what were the exact specifications for Maggie's prototype? | Yeah and it seemed like the recharge intervals for Amalia's toke a large decrease then we predicted""]",,"['Its agility did fairly well, its cost suffered a bit as it was fairly expensive, and its recharge interval also was not the greatest. There obviously are some drawbacks to maximizing payload | my group tested prototypes of all 3 materials']",['@Nassim Tehrani: Our designs were also relatively inexpensive. Increasing the ROM number would increase the payload but decrease the recharge interval | My team found that the Pneumatic actuator works very well meeting the standards in multiple prototype designs and I think it will be better than the artificial muscle which is essentially a weaker Pneumatic design'],,['All of the prototypes can be seen on the REDD tool I meant how do we start on deciding which to chooce? | I am looking at the balanced design we each made and it looks as though the general consensus is ROM 4 and Piezoelectric'],['There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible. | Do the new prototypes all have to use the same actuators?'],,,"['No matter what you do with the series elastic the recharge is awful.  the cost is always high too | Oh, well then in that case I liked the pneumatic and hydraulic designs. The pneumatic had a nice balance in all of the areas.']"
,,,,,"[""As a refresher, what were the exact specifications for Maggie's prototype? | 876N, 218 Deg/sec, 6.58 hrs, 13,280, safety 192""]",,"['Its agility did fairly well, its cost suffered a bit as it was fairly expensive, and its recharge interval also was not the greatest. There obviously are some drawbacks to maximizing payload | I typically used aluminum because it is lightweight and inexpensive.']","['I think lower ROM values have their advantages by increasing the recharge interval, decreasing cost greater saftey. Our best prototypes had 3 or 4 ROM.']",,['yea we all chose composite material for a good portion too'],['There needs to be a balance of attributes so that all the minimums are met and as many higher recommendations are met as possible. | Do we want to focus on all the categories as much as possible or are we going to choose specific categories to focus on for different designs?'],,,['Yeah the pneumatic was pretty good but is its safety too high? What was the max for that?']
,,,,,"[""Can we all agree that Maggie's is the best design? | The only things I slightly don't like about Maggie's are the recharge and agility. Those are still good, quite a bit higher than the minimum, but it's not a serious deficiency.""]",,"['Its agility did fairly well, its cost suffered a bit as it was fairly expensive, and its recharge interval also was not the greatest. There obviously are some drawbacks to maximizing payload | My group used Aluminum']","['I would say ROM 3 because of recharge interval | I think lower ROM values have their advantages by increasing the recharge interval, decreasing cost greater saftey. Our best prototypes had 3 or 4 ROM.']",,['All of the prototypes can be seen on the REDD tool I meant how do we start on deciding which to chooce? | yea we all chose composite material for a good portion too'],"['One of the prototypes I would recommend has a Payload of 644N, Agility of 185 degrees/sec, recharge interval of 6.98 hours, cost of $13,160, and safety of 216. Does anyone else want to share one of their most recommended prototypes?']",,,['So is the hydraulic the one we will go with? | Yeah the pneumatic was pretty good but is its safety too high? What was the max for that?']
,,,,,"[""Can we all agree that Maggie's is the best design? | The only things I slightly don't like about Maggie's are the recharge and agility. Those are still good, quite a bit higher than the minimum, but it's not a serious deficiency.""]",,"[""Most of our team's prototype designs consisted of Aluminum  material in order to keep cost down as well as the weight.""]","['I think lower ROM values have their advantages by increasing the recharge interval, decreasing cost greater saftey. Our best prototypes had 3 or 4 ROM. | Artificial muscle worked best with ROM 3 and 4. However 4 lowered the recharge interval so 3 would be best']",,['I am looking at the balanced design we each made and it looks as though the general consensus is ROM 4 and Piezoelectric | yea we all chose composite material for a good portion too'],"['Do the new prototypes all have to use the same actuators? | One of the prototypes I would recommend has a Payload of 644N, Agility of 185 degrees/sec, recharge interval of 6.98 hours, cost of $13,160, and safety of 216. Does anyone else want to share one of their most recommended prototypes?']",,,"['Oh, well then in that case I liked the pneumatic and hydraulic designs. The pneumatic had a nice balance in all of the areas. | Yeah the pneumatic was pretty good but is its safety too high? What was the max for that?']"
,,,,,"[""The only things I slightly don't like about Maggie's are the recharge and agility. Those are still good, quite a bit higher than the minimum, but it's not a serious deficiency. | Ok so any objections to Maggie's prototype as the best design""]",,"[""I typically used aluminum because it is lightweight and inexpensive. | Most of our team's prototype designs consisted of Aluminum  material in order to keep cost down as well as the weight.""]",['Artificial muscle worked best with ROM 3 and 4. However 4 lowered the recharge interval so 3 would be best | It is cheap and effective'],,['yea we all chose composite material for a good portion too'],"['Do we want to focus on all the categories as much as possible or are we going to choose specific categories to focus on for different designs? | One of the prototypes I would recommend has a Payload of 644N, Agility of 185 degrees/sec, recharge interval of 6.98 hours, cost of $13,160, and safety of 216. Does anyone else want to share one of their most recommended prototypes?']",,,['And is the pneumatics payload too low?']
,,,,,"[""The only things I slightly don't like about Maggie's are the recharge and agility. Those are still good, quite a bit higher than the minimum, but it's not a serious deficiency. | Ok so any objections to Maggie's prototype as the best design""]",,"[""My group used Aluminum | Most of our team's prototype designs consisted of Aluminum  material in order to keep cost down as well as the weight.""]","['Yes, my group also liked the NiCd battery best although the LiPO battery has the ability to make up for a low payload should we need that option']",,['All of the prototypes can be seen on the REDD tool I meant how do we start on deciding which to chooce? | yea we all chose composite material for a good portion too'],['Do the new prototypes all have to use the same actuators? | It sounded like we all really needed a higher payload so that should definitely be something we pay closer attention to.'],,,['So is the hydraulic the one we will go with? | And is the pneumatics payload too low?']
,,,,,"[""Ok so any objections to Maggie's prototype as the best design | The other attributes more than make up for it.""]",,"[""Our group utilized all three materials as well. | Most of our team's prototype designs consisted of Aluminum  material in order to keep cost down as well as the weight.""]","['It is cheap and effective | Yes, my group also liked the NiCd battery best although the LiPO battery has the ability to make up for a low payload should we need that option']",,['I am looking at the balanced design we each made and it looks as though the general consensus is ROM 4 and Piezoelectric | yea we all chose composite material for a good portion too'],['Do we want to focus on all the categories as much as possible or are we going to choose specific categories to focus on for different designs? | It sounded like we all really needed a higher payload so that should definitely be something we pay closer attention to.'],,,"['Oh, well then in that case I liked the pneumatic and hydraulic designs. The pneumatic had a nice balance in all of the areas. | And is the pneumatics payload too low?']"
,,,,,"[""Ok so any objections to Maggie's prototype as the best design | The other attributes more than make up for it.""]",,"[""Most of our team's prototype designs consisted of Aluminum  material in order to keep cost down as well as the weight. | Although my group primarily used aluminum, it did test some steel and composite prototypes.""]","['Yes, my group also liked the NiCd battery best although the LiPO battery has the ability to make up for a low payload should we need that option | @Christian: you mentioned that the Electric actuator kept a good payload correct?']",,['yea we all chose composite material for a good portion too | yea we all chose composite material for a good portion too'],"['One of the prototypes I would recommend has a Payload of 644N, Agility of 185 degrees/sec, recharge interval of 6.98 hours, cost of $13,160, and safety of 216. Does anyone else want to share one of their most recommended prototypes? | It sounded like we all really needed a higher payload so that should definitely be something we pay closer attention to.']",,,['Yeah the pneumatic was pretty good but is its safety too high? What was the max for that? | And is the pneumatics payload too low?']
,,,,,"[""Ok so any objections to Maggie's prototype as the best design | I would disagree with that statement, the recharge interval is quite good as well as the agility, the safety I would say is the biggest concern""]",,"[""Most of our team's prototype designs consisted of Aluminum  material in order to keep cost down as well as the weight. | We tested the composite material as well which can be very good in terms of being lightweight but it is very expensive.""]",['despite being the most expensive we met cost standards in every prototype'],,['I am looking at the balanced design we each made and it looks as though the general consensus is ROM 4 and Piezoelectric | How many designs are we allowed to test?'],"[""One of the prototypes I would recommend has a Payload of 644N, Agility of 185 degrees/sec, recharge interval of 6.98 hours, cost of $13,160, and safety of 216. Does anyone else want to share one of their most recommended prototypes? | I think we should try all-around designs. These are our final prototypes, so there's not much room for experimenting.""]",,,['Yeah the pneumatic was pretty good but is its safety too high? What was the max for that? | Does everyone agree with hydraulic?']
,,,,,"[""Safety (RPN) is good when it's low. | Regardless, it is still the best design""]",,"[""Most of our team's prototype designs consisted of Aluminum  material in order to keep cost down as well as the weight. | Our group used piezoelectric and Strain Gauge""]",['despite being the most expensive we met cost standards in every prototype | I liked the piezoelectric sensor but it is also the most expensive'],,['yea we all chose composite material for a good portion too | How many designs are we allowed to test?'],"[""It sounded like we all really needed a higher payload so that should definitely be something we pay closer attention to. | I think we should try all-around designs. These are our final prototypes, so there's not much room for experimenting.""]",,,['And is the pneumatics payload too low? | Does everyone agree with hydraulic?']
,,,,,"['Regardless, it is still the best design | No, you want a high RPN']",,"['so with steel, the prototypes generally were more expensive yet they excelled in payload capacity because of their strength. With aluminum, the prototypes generally cost the least and did well in most other areas besides payload. the composite material was the most well balanced, with cost being the only downside']",['My group only tested one piezoelectric and mostly strain gauge. Strain gauge made the design less agile and increased the RPN number'],,['yea we all chose composite material for a good portion too | How many designs are we allowed to test?'],"[""One of the prototypes I would recommend has a Payload of 644N, Agility of 185 degrees/sec, recharge interval of 6.98 hours, cost of $13,160, and safety of 216. Does anyone else want to share one of their most recommended prototypes? | I think we should try all-around designs. These are our final prototypes, so there's not much room for experimenting.""]",,,['Yeah the pneumatic was pretty good but is its safety too high? What was the max for that? | I would go with either the hydraulic or pneumatic depending on what everyone else thinks']
,,,,,['whats the minimum safety rating?'],,"['my group used peizoelectric and strain-gauge | so with steel, the prototypes generally were more expensive yet they excelled in payload capacity because of their strength. With aluminum, the prototypes generally cost the least and did well in most other areas besides payload. the composite material was the most well balanced, with cost being the only downside']",['despite being the most expensive we met cost standards in every prototype | My group only tested one piezoelectric and mostly strain gauge. Strain gauge made the design less agile and increased the RPN number'],,"['yea I know for the prototype that I tried to balance, the NiCd worked pretty well']","[""It sounded like we all really needed a higher payload so that should definitely be something we pay closer attention to. | I think we should try all-around designs. These are our final prototypes, so there's not much room for experimenting.""]",,,['And is the pneumatics payload too low? | I would go with either the hydraulic or pneumatic depending on what everyone else thinks']
,,,,,"[""Safety (RPN) is good when it's low. | whats the minimum safety rating?""]",,"['my group used peizoelectric and strain-gauge | so with steel, the prototypes generally were more expensive yet they excelled in payload capacity because of their strength. With aluminum, the prototypes generally cost the least and did well in most other areas besides payload. the composite material was the most well balanced, with cost being the only downside']",['I liked the piezoelectric sensor but it is also the most expensive | My group only tested one piezoelectric and mostly strain gauge. Strain gauge made the design less agile and increased the RPN number'],,"['yea we all chose composite material for a good portion too | yea I know for the prototype that I tried to balance, the NiCd worked pretty well']","[""I think we should try all-around designs. These are our final prototypes, so there's not much room for experimenting. | One of mine had a payload of 636 N, agility of 158 degrees/second, recharge interval of 7.3 hours, cost of $12,395, and RPN 198. To increase the agility (and payload a bit) and lower the recharge we could just bump up the ROM.""]",,,['And is the pneumatics payload too low? | I think that hydraulic is a good choice']
,,,,,"['Regardless, it is still the best design | whats the minimum safety rating?']",,"['so with steel, the prototypes generally were more expensive yet they excelled in payload capacity because of their strength. With aluminum, the prototypes generally cost the least and did well in most other areas besides payload. the composite material was the most well balanced, with cost being the only downside']","['We used piezoelectric and strain gauge sensors, both performed well in payload and agility, but strain gauge had longer recharge and peizoelectric were expensive']",,"['yea we all chose composite material for a good portion too | yea I know for the prototype that I tried to balance, the NiCd worked pretty well']","[""I think we should try all-around designs. These are our final prototypes, so there's not much room for experimenting. | One of mine had a payload of 636 N, agility of 158 degrees/second, recharge interval of 7.3 hours, cost of $12,395, and RPN 198. To increase the agility (and payload a bit) and lower the recharge we could just bump up the ROM.""]",,,"['I would narrow it down to those two, as well, but I worry that the payload for the pneumatic is a bit low, so I would go with the hydraulic over the pneumatic.']"
,,,,,"['No, you want a high RPN | whats the minimum safety rating?']",,"['my group used peizoelectric and strain-gauge | so with steel, the prototypes generally were more expensive yet they excelled in payload capacity because of their strength. With aluminum, the prototypes generally cost the least and did well in most other areas besides payload. the composite material was the most well balanced, with cost being the only downside']","['My group only tested one piezoelectric and mostly strain gauge. Strain gauge made the design less agile and increased the RPN number | We used piezoelectric and strain gauge sensors, both performed well in payload and agility, but strain gauge had longer recharge and peizoelectric were expensive']",,"['How many designs are we allowed to test? | yea I know for the prototype that I tried to balance, the NiCd worked pretty well']","[""One of mine had a payload of 636 N, agility of 158 degrees/second, recharge interval of 7.3 hours, cost of $12,395, and RPN 198. To increase the agility (and payload a bit) and lower the recharge we could just bump up the ROM. | It wasn't a team prototype but for some reason it got evaluated.""]",,,"['Lets do hydraulic then. Everyone okay with that? | I would narrow it down to those two, as well, but I worry that the payload for the pneumatic is a bit low, so I would go with the hydraulic over the pneumatic.']"
